users rx tx 
0:SEEDER 14401952 219887307 
1:BINGE 95674925 190179740 
3:BINGE 136038372 169947384 
4:BINGE 172979520 147096404 
6:BINGE 222273428 105065647 
9:BINGE 302384943 29668541 
2:SKIPPER 38611344 151126363 
5:SKIPPER 62131718 116034969 
7:SKIPPER 72473024 88556881 
8:SKIPPER 105744155 67124836 
10:SKIPPER 120217887 50369601 
