users stalls 
1:BINGER 1 
3:BINGER 2 
5:BINGER 1 
6:BINGER 1 
8:BINGER 1 
2:SKIPPER 7 
4:SKIPPER 7 
7:SKIPPER 7
9:SKIPPER 7 
10:SKIPPER 7
