users rx tx 
0:SEEDER 16982738 252566343 
1:BINGE 79440003 237266248 
3:BINGE 152369513 183573335
5:BINGE 196298096 153998322 
6:BINGE 260373073 113818143 
8:BINGE 250998411 85465510 
2:SKIPPER 91225909 203358710 
4:SKIPPER 121628328 164671037 
7:SKIPPER 193955234 127532775 
9:SKIPPER 170909373 108571548 
10:SKIPPER 176033542 71661896 
