segments fails 
0 0 
1 0 
2 1 
3 0 
4 5 
5 0 
6 0 
7 0 
8 1 
9 2 
10 2 
11 5 
12 2 
13 2 
14 0 
15 0 
16 2 
17 4 
18 6 
19 0 
20 0 
21 1 
22 6 
23 3 
24 1 
25 3 
26 8 
27 0 
28 0 
29 0 
30 0 
