x1 y1 x2 y2 x3 y3 x4 y4 x5 y5 x6 y6 x7 y7 x8 y8 x9 y9 x10 y10
0 0 992 0 4396 0 11202 0 12508 0 15060 0 17312 0 17187 0 29517 0 31729 0
540 540 1553 561 5119 723 11869 667 13086 578 15774 714 19119 1807 17737 550 30295 778 33457 1728
30371 540 69662 561 76639 723 41678 667 42914 578 48608 714 51951 1807 47553 550 97922 778 98367 1728
37061 7230 NaN NaN NaN NaN 48828 7817 50934 8598 51969 4075 55649 5505 53096 6093 NaN NaN NaN NaN
84626 7230 NaN NaN NaN NaN 97864 7817 98036 8598 97916 4075 98230 5505 98197 6093 NaN NaN NaN NaN
