users stalls 
1:BINGE 2 
2:BINGE 1 
3:BINGE 1 
4:BINGE 2 
5:BINGE 2 
6:BINGE 2 
7:BINGE 2 
8:BINGE 2 
9:BINGE 1 
10:BINGE 1 
