user latency
1:BINGE 1053
2:BINGE 1285
3:BINGE 1084
4:BINGE 1115
5:BINGE 1110
6:BINGE 996
7:BINGE 1005
8:BINGE 912
9:BINGE 756
10:BINGE 745
