users rx tx 
0:SEEDER 17719228 276522474 
1:BINGE 79791617 264853394 
2:BINGE 120545253 247962197 
3:BINGE 137373273 235571255 
4:BINGE 182680971 217753747 
5:BINGE 183610446 197521047 
6:BINGE 185356155 172970022 
7:BINGE 171889028 146579363 
8:BINGE 389422348 129498521 
9:BINGE 286378308 85544563 
10:BINGE 280330670 55590288 
