x1 y1 x2 y2 x3 y3 x4 y4 x5 y5 x6 y6 x7 y7 x8 y8 x9 y9 x10 y10
0 0 5221 0 12745 0 14452 0 25545 0 30366 0 44476 0 56516 0 57093 0 58838 0
545 545 5790 569 13370 625 15008 556 26296 751 31017 651 45133 657 57139 623 57795 702 59459 621
59723 545 63555 569 71221 625 76096 556 83641 751 88325 651 102237 657 114754 623 115416 702 116598 621
