users rx tx 
0:SEEDER 17134736 256333885 
1:BINGE 76875652 230419826 
2:BINGE 106360730 219669296 
3:BINGE 251279342 205137985 
4:BINGE 271260580 206896749 
5:BINGE 152406172 209362054 
6:BINGE 260027565 182185625 
7:BINGE 273677758 159510188 
8:BINGE 245235073 173919848 
9:BINGE 211485083 138766910 
10:BINGE 220208396 97842543 
