users stalls 
1:BINGE 1 
2:BINGE 2 
3:BINGE 2 
4:BINGE 3 
5:BINGE 2 
6:BINGE 2 
7:BINGE 2 
8:BINGE 1 
9:BINGE 1 
10:BINGE 1 
mean 1.7 
stdev 0.6749485577105528 
