x1 y1 x2 y2 x3 y3 x4 y4 x5 y5 x6 y6 x7 y7 x8 y8 x9 y9 x10 y10
0 0 12005 0 16196 0 16717 0 17757 0 20385 0 28854 0 28277 0 30368 0 41566 0
549 549 12591 586 16830 634 17353 636 18479 722 21197 812 29764 910 29598 1321 31261 893 42307 741
57726 549 93388 586 46689 634 44210 636 51298 722 51023 812 62586 910 101685 1321 98949 893 101793 741
NaN NaN 96929 4127 54063 8008 50018 6444 54592 4016 57020 6809 63301 1625 NaN NaN NaN NaN NaN NaN
NaN NaN 99317 4127 101773 8008 55980 6444 100034 4016 100999 6809 101495 1625 NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN 58151 8615 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN 101759 8615 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
