users rx 
1:BINGER 562.0 
2:BINGER 521.0 
3:BINGER 613.0 
4:BINGER 554.0 
5:BINGER 589.0 
6:BINGER 571.0 
7:BINGER 1271.0 
8:BINGER 613.0 
9:BINGER 684.0 
10:LEECHER 18260.0 
