users rx 
1:LEECHER 470.0 
2:LEECHER 110355.0 
3:LEECHER 116439.0 
4:LEECHER 117686.0 
5:LEECHER 117785.0 
6:LEECHER 118444.0 
7:LEECHER 116295.0 
8:LEECHER 110301.0 
9:LEECHER 105340.0 
10:LEECHER 103748.0 
