users stalls 
1:BINGER 5 
2:BINGER 4 
4:BINGER 3 
6:BINGER 1 
8:BINGER 1 
3:LEECHER 7
5:LEECHER 5
7:LEECHER 5 
9:LEECHER 5 
10:LEECHER 6 
