x1 y1 x2 y2 x3 y3 x4 y4 x5 y5 x6 y6 x7 y7 x8 y8 x9 y9 x10 y10
0 0 4459 0 11865 0 13810 0 17534 0 19396 0 35987 0 40312 0 42119 0 46373 0
562 562 4980 521 12478 613 14364 554 18123 589 19967 571 37258 1271 40925 613 42803 684 48401 2028
64701 562 62419 521 71143 613 84160 554 75730 589 78414 571 94907 1271 98256 613 100312 684 57219 2028
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 66924 11733
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 87931 11733
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 94458 18260
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 121949 18260
